References,Original_MPN,Original_LCSC,Package,Per_board,Boards,Required,Vendor,Order_MPN,Vendor_part_number,Order_quantity,Spares,MOQ,Multiple,Observed_stock,Currency,Unit_price,Line_price,Checked_on,Page_crawl_age,Source,Status,Notes
"C32, C33",CC0805FRNPO0BN680,C576904,0805,2,5,10,Mouser,VJ0805A680FXBPW1BC,77-VJ0805A680FXBPBC,20,10,1,1,4559,USD,0.268,5.36,2026-09-22,2 months ago,https://www.mouser.com/ProductDetail/Vishay-Vitramon/VJ0805A680FXBPW1BC?qs=LOE%2FbrHKynVKp8h9bQehOA%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,PROPOSED SUBSTITUTE: 68 pF; 100 V; C0G; 1%; 0805; 2.0 x 1.25 x 0.6 mm. Fit same MPN to C32/C33; RF tuning/thermal checks required.
"C36, C37",CC0805GRNPO0BN101,C527192,0805,2,5,10,Mouser,C0805C101F1GACTU,80-C0805C101F1G,20,10,1,1,2980,,,,2026-09-22,2 months ago,https://www.mouser.cn/ProductDetail/KEMET/C0805C101F1GACTU?qs=PvkUd2vn8WpeBlgrApNklg%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,PROPOSED SUBSTITUTE: 100 pF; 100 V; C0G; 1% instead of 2%; 0805; 2.0 x 1.25 x 0.78 mm. Fit same MPN to C36/C37; RF tuning/thermal checks required. Obtain German price; source has China tax-inclusive price.
C44,CL21B475KAFNNNE,C98195,0805,1,5,5,LCSC,CL21B475KAFNNNE,C98195,20,15,10,10,314440,USD,0.0527,1.054,2026-09-22,today,https://www.lcsc.com/product-detail/C98195.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
C46,CL31B475KBHNNNE,C51205,1206,1,5,5,LCSC,CL31B475KBHNNNE,C51205,20,15,10,10,211830,USD,0.076,1.52,2026-09-22,today,https://www.lcsc.com/product-detail/C51205.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C53, C54",CC0805JRNPO0BN330,C309485,0805,2,5,10,Mouser,CC0805JRNPO0BN330,603-CC805JRNPO0BN330,20,10,1,1,2739,,,,2026-09-22,last month,https://hu.mouser.com/en/ProductDetail/YAGEO/CC0805JRNPO0BN330?qs=7s%252B3O6pAiyAiGOdVr5NFOg%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact MPN; 33 pF 5% 100 V C0G 0805. Obtain German price; source priced in HUF.
"D1, D2",B340A-13-F,C85098,SMA(DO-214AC),2,5,10,LCSC,B340A-13-F,C85098,20,10,10,10,204770,USD,0.0877,1.754,2026-09-22,3 days ago,https://www.lcsc.com/product-detail/C85098.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
D3,KT-0603R,C2286,0603,1,5,5,LCSC,KT-0603R,C2286,100,95,100,100,1428700,USD,0.0075,0.75,2026-09-22,today,https://www.lcsc.com/product-detail/C2286.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
D4,SS14-E3/61T,C47460,SMA(DO-214AC),1,5,5,LCSC,SS14-E3/61T,C47460,6,1,3,3,26592,USD,0.1114,0.6684,2026-09-22,today,https://www.lcsc.com/product-detail/C47460.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
DS1,FH12A-24S-0.5SH(55),C506794,"SMD,P=0.5mm,Surface Mount，Right Angle",1,5,5,Mouser,FH12A-24S-0.5SH(55),798-FH12A-24S0.5SH55,6,1,1,1,3237,EUR,1.53,9.18,2026-09-22,see source; cache age not retained,https://www.mouser.de/ProductDetail/Hirose-Connector/FH12A-24S-0.5SH55?qs=Ux3WWAnHpjB%2FZtawdT%252BCDQ%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact TOP-contact MPN; do not accept FH12 bottom-contact socket.
J1,USB4105-GF-A-120,C5184243,SMD,1,5,5,LCSC,USB4105-GF-A-120,C5184243,6,1,1,1,4625,USD,0.923,5.538,2026-09-22,today,https://www.lcsc.com/product-detail/C5184243.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
J2,B2B-PH-SM4-TB(LF)(SN),C160352,"SMD,P=2mm",1,5,5,LCSC,B2B-PH-SM4-TB(LF)(SN),C160352,10,5,5,5,33855,USD,0.222,2.22,2026-09-22,today,https://www.lcsc.com/product-detail/C160352.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
L1,LSXND3030QKT2R2MNG,C6980123,1212,1,5,5,LCSC,LSXND3030QKT2R2MNG,C6980123,10,5,5,5,1645,USD,0.1449,1.449,2026-09-22,2 weeks ago,https://www.lcsc.com/product-detail/C6980123.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"L2, L3",0805HP-151XGRC,C20417049,0805,2,5,10,Mouser,0805HP-151XGRC,994-0805HP-151XGRC,15,5,1,1,1620,USD,0.833,12.495,2026-09-22,2 months ago,https://www.mouser.com/ProductDetail/Coilcraft/0805HP-151XGRC?qs=w%2Fv1CP2dgqoo2pOOKR3sEA%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact 150 nH 2% RF inductor; no generic 150 nH substitute.
L4,LPS4018-103MRC,C6127589,"SMD,3.9x3.9mm",1,5,5,LCSC,LPS4018-103MRC,C6127589,6,1,1,1,4799,USD,0.7563,4.5378,2026-09-22,5 months ago,https://www.lcsc.com/product-detail/C6127589.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved. Older catalogue cache: priority recheck.
"Q1, Q3",IRLML6402TRPBF,C2593,SOT-23,2,5,10,LCSC,IRLML6402TRPBF,C2593,12,2,1,1,20972,USD,0.3975,4.77,2026-09-22,2 days ago,https://www.lcsc.com/product-detail/C2593.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"Q2, Q4, Q5",BSS138,C52895,SOT-23,3,5,15,LCSC,BSS138,C52895,20,5,10,10,61380,USD,0.063,1.26,2026-09-22,today,https://www.lcsc.com/product-detail/C52895.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R1, R2",0603WAF5101T5E,C23186,0603,2,5,10,LCSC,0603WAF5101T5E,C23186,100,90,100,100,23544500,USD,0.0018,0.18,2026-09-22,today,https://www.lcsc.com/product-detail/C23186.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R3, R5, R8, R9, R10, R11, R21, R35, R37",0603WAF1002T5E,C25804,0603,9,5,45,LCSC,0603WAF1002T5E,C25804,100,55,100,100,2204600,USD,0.0019,0.19,2026-09-22,today,https://www.lcsc.com/product-detail/C25804.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R4, R19, R20",0603WAF2201T5E,C4190,0603,3,5,15,LCSC,0603WAF2201T5E,C4190,100,85,100,100,6526300,USD,0.0017,0.17,2026-09-22,today,https://www.lcsc.com/product-detail/C4190.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
R6,RT0603BRD07220KL,C861231,0603,1,5,5,LCSC,RT0603BRD07220KL,C861231,20,15,10,10,16490,USD,0.0532,1.064,2026-09-22,5 days ago,https://www.lcsc.com/product-detail/C861231.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
R7,RT0603BRD0748K7L,C861429,0603,1,5,5,LCSC,RT0603BRD0748K7L,C861429,20,15,20,20,460,USD,0.0319,0.638,2026-09-22,2 months ago,https://www.lcsc.com/product-detail/C861429.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved. Older catalogue cache: priority recheck.
"R12, R13",0603WAF220JT5E,C23345,0603,2,5,10,LCSC,0603WAF220JT5E,C23345,100,90,100,100,7680800,USD,0.0017,0.17,2026-09-22,today,https://www.lcsc.com/product-detail/C23345.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
R14,0603WAF1000T5E,C22775,0603,1,5,5,LCSC,0603WAF1000T5E,C22775,100,95,100,100,7706100,USD,0.0032,0.32,2026-09-22,today,https://www.lcsc.com/product-detail/C22775.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R15, R16",0603WAF4703T5E,C23178,0603,2,5,10,LCSC,0603WAF4703T5E,C23178,100,90,100,100,1236000,USD,0.0028,0.28,2026-09-22,today,https://www.lcsc.com/product-detail/C23178.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R17, R18, R22, R23, R24, R33, R34, R36, R40",0603WAF1003T5E,C25803,0603,9,5,45,LCSC,0603WAF1003T5E,C25803,100,55,100,100,17700800,USD,0.0031,0.31,2026-09-22,today,https://www.lcsc.com/product-detail/C25803.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R25, R26",0805W8F2201T5E,C17520,0805,2,5,10,LCSC,0805W8F2201T5E,C17520,100,90,100,100,3133800,USD,0.0046,0.46,2026-09-22,today,https://www.lcsc.com/product-detail/C17520.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R27, R28",CRCW12062R70FKEAHP,C2079511,1206,2,5,10,Mouser,CRCW12062R70FKEAHP,,20,10,1,1,2409,USD,0.136,2.72,2026-09-22,catalogue cache; recheck,https://www.mouser.com/ProductDetail/Vishay/CRCW12062R70FKEAHP?qs=LlUlMxKIyB0itIoIlMcfOQ%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact high-power 2.7 ohm 1% 1206 part; preserve HP suffix. Board power derating still applies.
R29,0603WAF0000T5E,C21189,0603,1,5,5,LCSC,0603WAF0000T5E,C21189,100,95,100,100,17075800,USD,0.0023,0.23,2026-09-22,today,https://www.lcsc.com/product-detail/C21189.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
R30,CPF0805B1M8E,C2088132,0805,1,5,5,Mouser,CPF0805B1M8E,279-CPF0805B1M8E,10,5,1,1,9161,,,,2026-09-22,3 weeks ago,https://au.mouser.com/en/ProductDetail/TE-Connectivity-Holsworthy/CPF0805B1M8E?qs=sGAEpiMZZMvdGkrng054t7z4BkURc4LzLz8IVhWQ8l%252B6qj4pvlq7Ww%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact 1.8 Mohm 0.1% 25 ppm/K 0805 part. Obtain German price; source priced in AUD.
R31,RT0603BRD07200KL,C728585,0603,1,5,5,LCSC,RT0603BRD07200KL,C728585,20,15,20,20,249580,USD,0.0562,1.124,2026-09-22,5 days ago,https://www.lcsc.com/product-detail/C728585.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
R32,0603WAF9103T5E,C23263,0603,1,5,5,LCSC,0603WAF9103T5E,C23263,100,95,100,100,300200,USD,0.0019,0.19,2026-09-22,last week,https://www.lcsc.com/product-detail/C23263.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"R41, R42",RC0805JR-070RL,C96345,0805,2,5,10,LCSC,RC0805JR-070RL,C96345,100,90,100,100,3031300,USD,0.0054,0.54,2026-09-22,today,https://www.lcsc.com/product-detail/C96345.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"SW1, SW2",B3U-1000P,C231329,"SMD,3x2.5mm",2,5,10,LCSC,B3U-1000P,C231329,15,5,5,5,161660,USD,0.188,2.82,2026-09-22,today,https://www.lcsc.com/product-detail/C231329.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U1,TP4054-42-SOT25R,C32574,SOT-23-5,1,5,5,LCSC,TP4054-42-SOT25R,C32574,10,5,5,5,27505,USD,0.1343,1.343,2026-09-22,today,https://www.lcsc.com/product-detail/C32574.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U2,SY8089AAAC,C78988,SOT-23-5,1,5,5,LCSC,SY8089AAAC,C78988,10,5,5,5,53005,USD,0.1522,1.522,2026-09-22,today,https://www.lcsc.com/product-detail/C78988.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U3,ESP32-C3-WROOM-02-N4,C2934560,"SMD,20x18mm",1,5,5,LCSC,ESP32-C3-WROOM-02-N4,C2934560,6,1,1,1,3857,USD,3.3224,19.9344,2026-09-22,today,https://www.lcsc.com/product-detail/C2934560.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U4,USBLC6-2SC6,C7519,SOT-23-6L,1,5,5,LCSC,USBLC6-2SC6,C7519,10,5,5,5,41215,USD,0.1782,1.782,2026-09-22,today,https://www.lcsc.com/product-detail/C7519.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U5,TLV803EA30DBZR,C5218924,SOT-23-3,1,5,5,LCSC,TLV803EA30DBZR,C5218924,6,1,1,1,3585,USD,0.3934,2.3604,2026-09-22,today,https://www.lcsc.com/product-detail/C5218924.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U6,PN7160A1HN/C100E,C3303788,HVQFN-40(6x6),1,5,5,LCSC,PN7160A1HN/C100E,C3303788,6,1,1,1,3219,USD,4.0545,24.327,2026-09-22,last week,https://www.lcsc.com/product-detail/C3303788.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U7,AP3012KTR-E1,C460356,SOT-23-5,1,5,5,LCSC,AP3012KTR-E1,C460356,10,5,5,5,57165,USD,0.2141,2.141,2026-09-22,last month,https://www.lcsc.com/product-detail/C460356.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U8,"PCF8574T/3,518",C7605,SOIC-16-300mil,1,5,5,LCSC,"PCF8574T/3,518",C7605,6,1,1,1,2973,USD,2.14,12.84,2026-09-22,2 weeks ago,https://www.lcsc.com/product-detail/C7605.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
U9,MCP1700T-3002E/TT,C62244,SOT-23,1,5,5,LCSC,MCP1700T-3002E/TT,C62244,6,1,1,1,2870,USD,0.5207,3.1242,2026-09-22,2 days ago,https://www.lcsc.com/product-detail/C62244.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
Y1,NX2016SA-27.12MHZ-EXS00A-CS06346,C3008209,SMD2016-4P,1,5,5,LCSC,NX2016SA-27.12MHZ-EXS00A-CS06346,C3008209,10,5,5,5,8135,USD,0.3815,3.815,2026-09-22,6 days ago,https://www.lcsc.com/product-detail/C3008209.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
